,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,neighborhood,city,postal_code,space_type,location_type,primary_features__c,ideal_for__c,city_slug
1,9675,1,360.0,2000.0,,,,,,Elegant Top Floor Hotel Bar in Animated Grachtengordel,Elegant Top Floor Hotel Bar in Animated Grachtengordel,"Your evening events, business meetings and private sales are sure to be an immediate success in this amazing space in the central area of the Grachtengordel. This spacious 71 sqm bar space is now available for rent and  provides the perfect platform for any creative campaign and pop-up stores that you can come up with.

This bar is located inside a hotel, on the top floor, providing an opportunity to benefit from the immediately available market of the hotel.

With cozy furniture, internet, white walls and a wooden floor, this space provides the comfort and elegance a bar needs. The ideal backdrop for your next event.","Your evening events, business meetings and private sales are sure to be an immediate success in this amazing space in the central area of the Grachtengordel.",Grachtengordel,Amsterdam,1016 BJ,Restaurant / Bar / Cafe,,Air Conditioning;Electricity;Handicap Accessible;Heating;Internet;Toilets;Bar,Fashion Show;Private Sale;Art Opening;Product Launch;Food Event;Corporate Event,amsterdam
53,9674,1,360.0,800.0,,,,,,Homey and Study and Library Room in Animated Grachtengordel,Homey and Study and Library Room in Animated Grachtengordel,"Your corporate events, product launches and showrooms are sure to be an immediate success in this excellent location right in the central area of Grachtengordel. This 21 sqm space is now available for rent and provides the perfect platform for any pop-up store or creative concept you can storyboard.

It is located inside a hotel, on the ground floor, providing an opportunity to benefit from the immediately available market of the hotel.

With modern furniture, sound and video equipment, white walls and a marble floor, this space feels both professional and homey. The ideal backdrop for your next event.","Your corporate events, product launches and showrooms are sure to be an immediate success in this excellent location right in the central area of Grachtengordel.",Grachtengordel,Amsterdam,1016 BJ,Meeting Space,,Air Conditioning;Furniture;Counters;Electricity;Fitting Rooms;Handicap Accessible;Heating;Kitchen;Lighting;Security System;Stock Room;Internet;Office Equipment;Sound & Video Equipment;Toilets,Product Launch;Corporate Event,amsterdam
166,9618,1,360.0,1500.0,,,,,,Vibrante Showroom in Grachtengordel,Vibrante Showroom in Grachtengordel,"Uw bedrijfsevenementen, productlanceringen en showrooms kunnen onmiddellijk realiteit worden in deze open ruimte van 42 m², gelegen in het high-end en klassieke Amsterdam Grachtengordel.

Deze ruimte kijkt uit over de adembenemende Amsterdamse grachten en bevindt zich op de begane grond van een typisch Amsterdams gebouw.

Het interieur meubilair kan worden herschikt voor verschillende doeleinden. De speelse stijl zal bezoekers tijdens uw evenement attent en tevreden houden. Deze ruimte is voorzien van airconditioning, internet, een keuken en nog veel meer.","Uw bedrijfsevenementen, productlanceringen en showrooms kunnen onmiddellijk realiteit worden in deze open ruimte van 42 m², gelegen in het high-end en klassieke Amsterdam Grachtengordel.",Grachtengordel,Amsterdam,1016 BJ,Conference Room,,Air Conditioning;Furniture;Electricity;Handicap Accessible;Heating;Kitchen;Lighting;Internet;Office Equipment;Sound & Video Equipment;Ground Floor,Private Sale;Product Launch;Corporate Event,amsterdam
171,9646,1,360.0,650.0,,,4150.0,,,Playful Meeting Space in Grachtengordel,Playful Meeting Space in Grachtengordel,"Are you looking to host a successful meeting or corporate event, with perhaps a game of ping-pong on the side? Look no further, this 22 sqm space has the perfect vibe for fun-seeking customers, coming from the central Grachtengordel.

The eye-catching traditional facade of this building makes this ground floor space both accessible and highly marketable to all passersby.

Thanks to its air conditioning, Internet and backroom, this place provides all the opportunities for people to relax and enjoy their time.","Are you looking to host a successful meeting or corporate event, with perhaps a game of ping-pong on the side? Look no further, this 22 sqm space has the perfect vibe for fun-seeking customers, coming from the central Grachtengordel.",De 9 Straatjes,Amsterdam,1016 BJ,Meeting Space,,Air Conditioning;Furniture;Electricity;Handicap Accessible;Heating;Kitchen;Lighting;Stock Room;Internet;Office Equipment;Sound & Video Equipment;Toilets;Ground Floor,Product Launch;Pop-Up Store,amsterdam
179,13973,1,,250.0,,,,,,Elegante Meeting Room in het Centrum,Neptunuskamer,"With 21 square meters, the Neptunuskamer is our smallest private room. The maximum of people sitting down is 16. The facilities we provide in this room are WIFI and a television screen. The Neptunuskamer is very suitable for small meetings, lunches and dinners. All of our private rooms have big windows that allow a lot of natural daylight to shine in.",Deze prachtige ruimte ligt in het midden van het stadscentrum.,City Center,Amsterdam,1012 KK,Meeting Space,,Air Conditioning;Electricity;Heating;Lighting;Security System;Street Level;Bar,Fashion Show;Late Night Event (after 10pm);Product Launch;Corporate Event;Conference;Food & Beverage;Meeting,amsterdam
202,28309,168,,,8333.0,,,,,,Entire Building for Rent to Use as Store and Office,"The retail space is located in the center of Amsterdam, near the Kalverstraat where many national and international retailers have established themselves.
The retail space has a total surface area of 234 m2: 
Ground floor     = approx. 67 m2 
Basement         = approx. 17 m2 
First floor          = approx. 43 m2 
Second floor     = approx. 40 m2 
Third floor         = approx. 40 m2 
Fourth floor      = approx. 27 m2",,,Amsterdam,1012 LC,Boutique / Shop,,Air Conditioning;Handicap Accessible;Heating;Kitchen;Lighting;Stock Room;Street Level;Window Display;Toilets;Stunning View;Ground Floor;Bathroom;Multiple Rooms,Private Sale;Art Opening;Pop-Up Store;Fashion Showroom,amsterdam
416,28308,168,,,12000.0,,,,,,Unique Opportunity at P.C. Hooftstraat,"This amazing boutique is situated at the high-end luxury shopping street P.C. Hooftstraat and is available for both shorter term (min. 6 months) as well as long term rental.
The ground floor is approx. 108m2 and it has a storage area of approx. 115m2 in the basement.",,,Amsterdam,1071 BR,Boutique / Shop,,Air Conditioning;Electricity;Fitting Rooms;Handicap Accessible;Kitchen;Lighting;Stock Room;Street Level;Internet;Window Display;Toilets;Stunning View;Ground Floor;Bathroom;Whitebox / Minimal,Private Sale;Art Opening;Pop-Up Store;Fashion Showroom,amsterdam
525,9600,1,365.0,3500.0,,,,,,Unique Event Space at the Canal,Unique Event Space at the Canal,"Your corporate events, product launches, and meetings are sure to be an immediate success in the central area of Grachtengordel. This large 187 sqm space now available for rent, provides the perfect platform for that.

This venue is consisting of 4 meeting rooms, a courtyard, and a pantry kitchen. The rooms are all located inside a hotel, on the ground floor, providing an opportunity to benefit from the immediately available market of the hotel.

With modern furniture, sound and video equipment, white walls and a marble floor, this space feels both professional and homey. The ideal backdrop for your next event.","Your corporate events, product launches, and meetings are sure to be an immediate success in the central area of Grachtengordel.",Grachtengordel,Amsterdam,1016 BJ,Event Space,,Air Conditioning;Furniture;Electricity;Fitting Rooms;Handicap Accessible;Heating;Kitchen;Lighting;Security System;Internet;Office Equipment;Sound & Video Equipment;Toilets,Private Sale;Product Launch;Corporate Event,amsterdam
548,30523,7,,,,,1000.0,,,,Gallery Space in Hip and Trendy Fashion Store,"Unique opportunity to showcase your art, fashion or any other design concept within this trendy and popular fashion store in the midst of City Centre Amsterdam. 

Profit from the foot traffic this amazing store already generates and expose your business to its visitors. 

Easily located within one of Amsterdam most famous (shopping) streets, so success guaranteed.",,,Amsterdam,1012 HX,Art Gallery,,Air Conditioning;Furniture;Garment Rack;Counters;Electricity;Fitting Rooms;Handicap Accessible;Heating;Kitchen;Lighting;Security System;Stock Room;Street Level;Internet;Window Display;Toilets;Ground Floor;Bathroom;Whitebox / Minimal;Multiple Rooms,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Photoshoot & Filming;Shop Share;Photo Shooting,amsterdam
573,29310,1,,440.0,,640.0,2200.0,,,,Vergaderruimte Athena,"Vanaf het balkon van onze vergaderruimte Athena, heb je direct uitzicht op Amsterdam Centraal station. Dit prachtige, oude gebouw kent een rijke geschiedenis en is recent gerenoveerd. Het gebouw beschikt over de WOW-factor, waarbij authenticiteit en hoogwaardige technologie samengaan. de Athena vergaderruimte is een inspirerende plek, waar wijsheid rijkelijk stroomt. Athena is namelijk de godin van de wijsheid, wetenschap en beeldende kunst. 

De vergaderruimte is geschikt voor vergaderingen, lezingen en andere evenementen. En maakt gegarandeerd indruk op je klanten en collega’s. De vergaderruimte biedt plek aan 10 personen in vergaderopstelling en aan maximaal 15 mensen in theateropstelling. Alles wat je nodig hebt wordt door ons gefaciliteerd. Het enige wat jij nog hoeft te doen is focussen op je vergadering.",,,Amsterdam,1012 TL,Meeting Space,,Furniture;Electricity;Lighting;Toilets;Daylight;Large Door Entrance,Corporate Event;Conference;Meeting;Office,amsterdam
