,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,neighborhood,city,postal_code,space_type,location_type,primary_features__c,ideal_for__c,city_slug
132,24371,30,,,120000.0,,,,,,Exclusivité Emplacement Premium Rue François 1er,"Située dans le 8ème arrondissement de Paris, en plein coeur du Triangle d'Or, cette boutique d’exception est idéale pour un Pop-Up Store, un Lancement de Produits.

Cette rue est prisée des grandes marques de luxe reconnues dans le monde entier. Une clientèle haut de gamme, internationale. Une zone sans équivalent à Paris où les grands noms de la mode se retrouvent. Balmain, Dolce&Gabbana et Tom Ford pour ne cité qu’eux.

Ceci est une opportunité rare et exclusive. Veuillez nous contacter si vous êtes une marque premium qui recherche une boutique éphémère sur la Rue François 1er.",,,Paris,75008,Boutique / Shop,,Street Level;Window Display;Toilets,Private Sale;Product Launch;Pop-Up Store,paris
277,12576,3,,900.0,8500.0,,3450.0,,,Boutique classique à Louvre-Rivoli,Boutique classique à Louvre-Rivoli,"Insolite et atypique, voilà la jolie boutique de 80m², dont une réserve de 2m² que nous vous proposons en location Éphémère pour l’organisation de vos prochains Showrooms, Pop-Up Stores, Boutiques Ephémères, Lancements de Produits/Marques, Ventes Privées…
D’abord, nous sommes frappés par la beauté de sa devanture toute habillée de marbre.

Puis nous découvrons un espace tout en longueur. Jonc de mer au sol, pour une agréable sensation estivale, murs blancs aux jolies moulures haussmanniennes, promenade à la découverte d’élégants arrondis et le tout relevé de multiples éclairages pour une mise en valeur raffinée font de cette boutique une alliée parfaitement modulable pour un large éventail d’évènements.

Situé dans ce Paris chic, prisé pour ses marques de luxe et sa somptueuse architecture, au coeur du quartier Louvre-Rivoli et face au majestueux Palais du Louvre, cet espace offre visibilité et trafic des plus denses.","Insolite et atypique, voilà la jolie boutique de 80m², dont une réserve de 2m² que nous vous proposons en location Éphémère pour l’organisation de vos prochains Showrooms, Pop-Up Stores, Boutiques Ephémères, Lancements de Produits/Marques, Ventes Privées…
D’abord, nous sommes frappés par la beauté de sa devanture toute habillée de marbre.",Châtelet - Les Halles,Paris,75001,Boutique / Shop,,Electricity;Fitting Rooms;Handicap Accessible;Heating;Kitchen;Lighting;Security System;Street Level;Internet;Window Display;Sound & Video Equipment;Toilets,Private Sale;Pop-Up Store;Fashion Showroom,paris
284,12818,1,,7000.0,,8000.0,35000.0,,,Gallery Space in Paris 13th,Gallery Space in Paris 13th,"This wonderful gallery space is located in the 13th arrondissement of Paris in the Quartier de la Gare.  It is a great option for an Art Opening, Private Sale or Product Launch.

This gallery has a modern gallery layout. It is comprised of one large room broken up by gallery walls.  The interior features white walls, raw concrete floors and open fluorescent lights. There are extensive facilities here including internet, a kitchen, office equipment and bathrooms making it a versatile option for many pop-up events.

With an adaptable layout and numerous amenities to help you pop-up, this space is an ideal opportunity for artists and brands alike to host and unforgettable pop-up event.",This wonderful gallery space is located in the 13th arrondissement of Paris in the Quartier de la Gare.,,Paris,75013,Art Gallery,,Electricity;Heating;Kitchen;Lighting;Street Level;Internet;Office Equipment;Toilets;Raw,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Meeting;Photo Shooting,paris
342,11944,30,,,50000.0,,,,,Retail Space in Gare Saint Lazare,Retail Space in Gare Saint Lazare,"This retail booth situated in the busy Gare Saint Lazare is a great opportunity for brands to gain exposure and grow their customer base. With multiple retail booths available, it's a perfect location to host a Pop-Up Store or launch new products. 

Gare Saint Lazare is home to many big-name brands including Mango, Foot Locker, Desigual, Gap, Marks and Spencer, Guess, as well as many popular food outlets. This presents a diverse demographic and the chance to align your brand with both global and local retailers. 

Brands hosting a temporary store here will benefits from incredible levels of passing foot traffic, 275,000 travellers pass through this station every day. There a range of units available with variable facilities. Send a request for more information and find your perfect retail space.",This retail booth situated in the busy Gare Saint Lazare is a great opportunity for brands to gain exposure and grow their customer base.,,Paris,75008,Booth / Kiosk / Stand,,Electricity,Product Launch;Pop-Up Store,paris
429,14240,8,15.0,,,,9000.0,,,Gorgeous Apartment near Opera,Gorgeous Apartment near Opera,"This amazing 175 square meters apartment is advantageously located close to Chaussée d'Antin - La Fayette and is ideal for private Showrooms and Events. 

This bright and airy apartment is housed in a historical Haussmannian building which provides the space with beautifully high ceilings and tall windows. The interiors are tasteful with white walls, wooden floors and a modern contemporary feel throughout. Bespoke light fittings and a range of contemporary furniture create a welcoming atmosphere. 

This space is located in an area with plenty of local amenities nearby and is easily accessed via public transport.",This amazing 175 square meters apartment is advantageously located close to Chaussée d'Antin - La Fayette and is ideal for private Showrooms and Events.,Opéra - Haussmann,Paris,75009,Apartment / Loft,,Air Conditioning;Furniture;Electricity;Heating;Kitchen;Lighting;Security System;Internet;Office Equipment;Sound & Video Equipment;Toilets;Stunning View;Ground Floor;Daylight;Whitebox / Minimal;Haussmann Style;Large Door Entrance;Multiple Rooms,Private Sale;Fashion Showroom;Meeting;Office,paris
486,28436,1,,400.0,,480.0,,,,,Studio Photo proche banlieue parisienne,"Nous ouvrons à la location notre studio photo et vidéo.

Vous pouvez louer notre espace de 50m² pour réaliser vos projets. Il s'agit d'un studio pensé et construit par des photographes pour vous permettre de réaliser l'ensemble de vos projets. 
​
Nous disposons d'un plateau tout équipé pour vos productions.

Notre loge comprend une grande table pour le matériel de votre maquilleur, un miroir éclairant ainsi que plusieurs sièges. 

Cette pièce dispose aussi d'un steamer et d'un portant pour le styliste, ainsi que d'un paravent pour que les modèles puissent se changer en toute intimité. 

Enfin dans une pièce à part, vous trouverez une douche afin que les modèles puissent se nettoyer après les shootings ayant par exemple recours au body painting.",,,Malakoff,92240,Photo / Filming Studio,,Furniture;Garment Rack;Electricity;Fitting Rooms;Heating;Kitchen;Lighting;Street Level;Internet;Office Equipment;Toilets;Bathroom;Daylight;Industrial;Large Door Entrance;Multiple Rooms,Photoshoot & Filming;Photo Shooting,paris
558,12077,1,28.0,600.0,15000.0,600.0,4000.0,,,Jolie Galerie près du Marais,Jolie Galerie près du Marais,"Cette galerie est située entre le Boulevard Voltaire et le Boulevard du Temple. Il s’agit d’un espace idéal pour les artistes et marques qui souhaitent organiser un Pop-Up Store ou une Exposition.
Niché dans un immeuble chargé d’Histoire, l’espace dispose d’une devanture aux accents classiques qui offre une belle visibilité sur une rue des plus animées. L’intérieur est habillé d’une belle pièce ouverte, modulable, parfaite pour des artistes en quête du lieu idéal dans un environnement créatif.

À deux pas de la Place de la République, cette location profite d’un passage soutenu tout au long de la journée. Un espace tout trouvé pour des marques qui souhaitent partir à la rencontre de leurs clients.",Cette galerie est située entre le Boulevard Voltaire et le Boulevard du Temple.,,Paris,75011,Art Gallery,,Furniture;Electricity;Heating;Lighting;Security System;Street Level;Internet;Window Display;Toilets,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom,paris
567,10732,1,14.0,1500.0,,,,,,Beau Loft dans Le Marais,Beau Loft dans Le Marais,"Situé dans le quartier du Marais, à deux pas de la rue des Archives, cet espace lumineux de 65m² est parfait pour y organiser des Showrooms ou Événements de jour (pas de soirée festive).
Son intérieur contemporain est habillé de murs blancs, d’un sol en parquet et de grandes fenêtres pour une vive clarté naturelle. On craque pour son atmosphère branchée.

Cet espace est une réelle opportunité pour des artistes ou créateurs en quête d’exposition.","Situé dans le quartier du Marais, à deux pas de la rue des Archives, cet espace lumineux de 65m² est parfait pour y organiser des Showrooms ou Événements.",,Paris-3E-Arrondissement,75003,Apartment / Loft,,Electricity;Heating;Kitchen;Lighting;Security System;Internet;Toilets;Raw,Fashion Showroom,paris
627,19579,1,,1000.0,,1250.0,6500.0,,,Loft Space in the 1st Arrondissement,Loft Space in the 1st Arrondissement,"Situated in the prestigious Saint-Honoré area, this sublime loft space is an excellent location for brands to host a Fashion Showroom, a Product Sale or an Art Opening. Located on the first floor, this apartment takes place in a charming hotel built in the 17th century.

With a beautiful frontage and large display windows, this art gallery offers good visibility and the space is filled with a brilliant natural light. Housed in a classic building with a private entrance, this space is elegant with a sophisticated ambience. The interiors are contemporary with white walls and wooden floors giving the space a modern feel. With facilities including a stock room and counters as well as a small office area, this space can accommodate a range of retail pop-ups.	

In comparison to the nearby Champs Élysées, this area is considered as being one of the most luxurious and fashionable streets to the presence of every major global fashion house and numerous art galleries. Advantageously situated in the prestigious area of Palais Royal close to the Louvre, this space is in a prime location. Surrounded by fashion retailers and popular art galleries. This space is great for artists, brands and designers to gain exposure in a creative setting.","Situated in the prestigious Saint-Honoré area, this sublime loft space is an excellent location for brands to host a Fashion Showroom, a Product Sale or an Art Opening.",,Paris,75001,Apartment / Loft,,Furniture;Electricity;Heating;Kitchen;Internet;Toilets;Living Space;Bathroom;Elevator;Daylight;Haussmann Style;Multiple Rooms,Private Sale;Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Shop Share;Photo Shooting,paris
643,22487,1,,10000.0,,,,,,Espace Rafiné dans le quartier Étoile,Espace Rafiné dans le quartier Étoile,"Ce somptueux espace pensé pour de grands évènements, composé de deux pièces magnifiques en étage mais ouvertes l’une sur l’autre pour une profondeur de champ à couper le souffle, vous est proposé en location Éphémère afin d’y organiser vos Showrooms, Pop-Up Stores, Lancements de Produits/Marques, Ventes Privées, Cocktails/Réceptions, Défilés, Shootings ou Expositions…
Une belle entrée, un long corridor et quelques marches plus hauts, il s’annonce avec virtuosité.

Hauteur sous-plafond des plus agréables, parquet vernis, murs blancs, de nombreuses portes-fenêtres laissant à la luminosité la liberté de s’y baigner à loisir, une myriade de spots enchâssés au plafond et cette sublime ouverture sur son voisin de dessus. Nous voici bel et bien dans le temple du raffinement parisien.

Puis, nous empruntons l’un des deux escaliers finement travaillés. À l’image de son acolyte d’en bas, nous sommes saisis par la grâce du lieu. Doté d’un grand espace, d’une mezzanine le longeant telle une coursive et de multiples fenêtres, notre imaginaire se laisse aller à de futurs évènements inoubliables.

Son petit plus ? Besoin d’un traiteur ? Nous l’avons du lundi au samedi !

Enfin, ce petit trésor méritant bien un ange gardien, il vous sera demandé de prévoir un agent de sécurité au 1er étage ainsi que sur les balcons du 2ème si vous les utilisez.

Situé dans le quartier de l’Étoile, aux portes des Ternes, Cet espace garantit un trafic des plus denses tout en préservant l’intimité qui caractérise son emplacement.","Ce somptueux espace pensé pour de grands évènements, composé de deux pièces magnifiques en étage mais ouvertes l’une sur l’autre pour une profondeur de champ à couper le souffle, vous est proposé en location Éphémère afin d’y organiser vos Showrooms, Pop-Up Stores, Lancements de Produits/Marques, Ventes Privées, Cocktails/Réceptions, Défilés, Shootings ou Expositions…
Une belle entrée, un long corridor et quelques marches plus hauts, il s’annonce avec virtuosité.",Ternes,Paris,75017,Unique Space,,Air Conditioning;Furniture;Garment Rack;Fitting Rooms;Heating;Kitchen;Lighting;Sound & Video Equipment;Toilets,Corporate Event,paris
