,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,space_type,location_type,primary_features__c,ideal_for__c,city_slug
0,19252,1,7.0,2670000.0,,,18700000.0,,,인사동에 위치한 넓은 미술 갤러리,인사동에 위치한 넓은 미술 갤러리,"이 미술관은 인사동에 위치한 심플한 공간입니다.
미술 전시회 혹은 쇼룸을 준비하는 디자이너에게 적합합니다.이 장소는 넓은 분위기의 공간으로 섬세함을 갖춘 외관으로 현대적인느낌을 더합니다. 미술 전시회를 위한 이 미술관은 깨끗한 천장 조명과 흰색 내벽로으로써 따뜻한 느낌을 더합니다. 잘 밝혀진 조명으로 공간을 깨끗한 곳으로 연출할 수 있습니다. 이 공간은 피팅룸, 의복 행거가 준비되어 있습니다.
종로3가역에 가까우며 현대적인 인기 명소와 창의적인 미술 갤러리에 둘러싸여 있습니다.
주변에 유명한 미술 갤러리가 많아 미술 행사 혹은 미술 전시회를 개최하는 디자이너 에게 추천합니다.","이 미술관은 인사동에 위치한 심플한 공간입니다.
미술 전시회 혹은 쇼룸을 준비하는 디자이너에게 적합합니다.이 장소는 넓은 분위기의 공간으로 섬세함을 갖춘 외관으로 현대적인느낌을 더합니다",Art Gallery,,Air Conditioning;Furniture;Counters;Electricity;Handicap Accessible;Heating;Lighting;Security System;Internet;Window Display;Office Equipment;Sound & Video Equipment;Toilets,Art Opening,seoul
8,19183,1,10.0,1000000.0,,,2500000.0,,,예술 행사를 위한 아늑한 미술관,예술 행사를 위한 아늑한 미술관,"이 공간은 삼청동에 있는 미술관 입니다.
예술 행사 혹은 팝업스토어를 준비하는 디자이너에게 적합합니다.이 장소는 아늑한 분위기의 공간으로 현대적이고 알록달록한 느낌을 갖춘 외관으로 클래식한 느낌을 더합니다.밝은 분위기의 공간으로 내부는 멋진 마룻 바닥과 베이직한 트랙 조명으로 느낌을 더합니다. 아름다운 조명으로 공간을 베이직한 느낌으로 연출할 수 있습니다. 이 공간은 피팅룸, 오픈 플랜과 계단을 갖추고 있으며 따뜻한저녁 행사에 적합합니다.
경복궁과 광화문에 가까우며 클래식한 인기 있는 레스토랑과 유명한 미술 갤러리에 둘러싸여 있습니다.
주변에 트렌디한 갤러리가 많아 미술 행사 혹은 미술 전시회를 준비하는 예술가에게 적합한 공간입니다. 삼청동의 이 공간 에서 팝업스토어로 완벽한 팝업 경험을 기획해보세요.","이 공간은 삼청동에 있는 미술관 입니다.
예술 행사 혹은 팝업스토어를 준비하는 디자이너에게 적합합니다.이 장소는 아늑한 분위기의 공간으로 현대적이고 알록달록한 느낌을 갖춘 외관으로 클래식한 느낌을 더합니다.밝은 분위기의 공간으로 내부는 멋진 마룻 바닥과 베이직한 트랙 조명으로 느낌을 더합니다",Art Gallery,,Air Conditioning;Furniture;Electricity;Heating;Lighting;Security System;Stock Room;Internet;Toilets;Daylight,Art Opening;Product Launch;Pop-Up Store;Corporate Event;Photoshoot & Filming,seoul
9,19168,7,30.0,,9240000.0,,3300000.0,,,인사동 문화의 거리에 위치한 현대적인 갤러리,인사동 문화의 거리에 위치한 현대적인 갤러리,"이 공간은 인사동에 위치한 클래식하며 바로 사용가능한 전시 공간입니다.
저녁 행사 또는 독점 판매를 개최하고자 하는 창의적인 전문가에게 적합합니다. 이 건물의 입구는 트렌디하며, 찾기 쉽게 되어있습니다. 미술 전시회를 개최하기에 적합하며 노출 배관과 트랙 조명으로써 세련된 느낌을 더합니다. 이 공간은 피팅룸, 의복 행거와 고급 장식이 준비되어 있습니다.
탑골공원과 인사동 문화의 거리와 가깝고 역사적인 지역에 위치하고 있습니다.
멋진 경험을 선사하는 공간들에 둘러싸여있어 미술 전시회를 준비하는 디자이너와 브랜드 를 위한 좋은 기회가 될 것입니다. 이 멋진 공간에서 미술 전시회를 가져보세요.","이 공간은 인사동에 위치한 클래식하며 바로 사용가능한 전시 공간입니다.
저녁 행사 또는 독점 판매를 개최하고자 하는 창의적인 전문가에게 적합합니다",Art Gallery,,Air Conditioning;Counters;Electricity;Heating;Lighting;Security System;Internet;Office Equipment;Sound & Video Equipment;Whitebox / Minimal,Art Opening,seoul
15,19167,7,30.0,,9240000.0,,3300000.0,,,인사동의 클래식한 갤러리,인사동의 클래식한 갤러리,"이 공간은 인사동에 위치한 바로 사용가능한 전시 공간입니다.
전시회, 독점 판매 등을 개최하고자 하는 창의적인 전문가에게 어울리는 공간입니다. 이 건물은 멀리서도 눈에 띄며, 미술 전시회를 개최하기에 적합합니다. 또한, 노출 배관과 트랙 조명으로써 세련된 느낌을 더합니다. 이 공간은 피팅룸, 의복 행거와 고급 장식이 준비되어 있습니다. 
탑골공원과 인사동 문화의 거리와 가깝고 역사적인 지역에 위치하고 있습니다. 
멋진 경험을 선사하는 공간들에 둘러싸여있어 미술 전시회를 준비하는 디자이너와 브랜드 를 위한 좋은 기회가 될 것입니다. 이 멋진 공간에서 미술 전시회를 가져보세요.","이 공간은 인사동에 위치한 바로 사용가능한 전시 공간입니다.
전시회, 독점 판매 등을 개최하고자 하는 창의적인 전문가에게 어울리는 공간입니다",Art Gallery,,Air Conditioning;Furniture;Counters;Electricity;Handicap Accessible;Heating;Lighting;Security System;Stock Room;Internet;Office Equipment;Sound & Video Equipment;Toilets;Whitebox / Minimal,Art Opening,seoul
35,19254,1,7.0,857000.0,,,6000000.0,,,인사동 갤러리에 둘러싸인 미술관,인사동 갤러리에 둘러싸인 미술관,"이 갤러리는 인사동에 있는 미술관 입니다.
예술 행사 또는 쇼룸을 개최하는 예술가에게 적합합니다. 이 장소는 넓은 분위기의 공간으로  섬세함을 갖춘 외관으로 현대적인느낌을 더합니다. 미술 전시회를 위한 이 미술관은 깨끗한 천장 조명으로 따뜻한 느낌을 더합니다. 잘 밝혀진 조명으로 공간을 깨끗한 곳으로 연출할 수 있습니다. 이 공간은 피팅룸, 의복 행거가 준비되어 있습니다.
종로3가역과 인사동 갤러리들에 둘러싸여 꾸준한 트래픽이 발생합니다.","이 갤러리는 인사동에 있는 미술관 입니다.
예술 행사 또는 쇼룸을 개최하는 예술가에게 적합합니다",Art Gallery,,Air Conditioning;Furniture;Counters;Electricity;Handicap Accessible;Heating;Lighting;Security System;Internet;Window Display;Sound & Video Equipment;Toilets,Art Opening,seoul
80,19239,1,10.0,1000000.0,50000000.0,,2500000.0,,,삼청동에 위치한 아늑한 현대 미술관,삼청동에 위치한 아늑한 현대 미술관,"삼청동의 아늑한 지역에 위치한 이 현대 미술관은 예술 관련 행사, 저녁 행사 또는 패션 위크 쇼룸에 이상적입니다.
이 공간은 현대적인 정면을 자랑합니다. 훌륭한 시야가있는 아늑한 느낌이 있습니다. 이 화이트 박스 샵은 트랙 조명과 흰 벽의 기본 인테리어로 고전적입니다. 환영하는 분위기의 창문과 조명이 잘 어우러져 있습니다. 이 가게는 의자와 테이블, 카운터 및 피팅 룸이있는 미술 전시회를 위해 잘 갖춰져 있습니다.

이 환영 공간은 경복궁과 가까운 삼청동의 평판이 좋은 지역에 위치하고 있습니다. Art Exhibitions, Art Events 및 Pop-Up Stores를 개최 할 수있는 놀라운 공간입니다.","삼청동의 아늑한 지역에 위치한 이 현대 미술관은 예술 관련 행사, 저녁 행사 또는 패션 위크 쇼룸에 이상적입니다.
이 공간은 현대적인 정면을 자랑합니다",Restaurant / Bar / Cafe,,Air Conditioning;Furniture;Counters;Electricity;Fitting Rooms;Heating;Kitchen;Lighting;Security System;Street Level;Internet;Toilets,Art Opening;Product Launch;Pop-Up Store;Food Event;Corporate Event;Photoshoot & Filming,seoul
110,19570,14,365.0,,500000.0,,300000.0,,,연세대 앞 커피스미스 야외 공간,연세대 앞 커피스미스 야외 공간,"연세로 중앙에 있는 카페의 야외 공간입니다.
대로변을 향하고 있는 공간이며 나무데크 공간입니다. 철제의자와 테이블이 구비되어있으며 카페 내부와는 이동가능한 유리문으로 나뉘어져 있습니다. 대로변에 오픈된 공간으로 지나가는 대중의 시선을 사로잡을 수 있습니다. 카페와 연결되어 있는 공간으로 다양하게 활용할 수 있습니다.
연세대학교에서 신촌역으로 가는 길목에 있으며 20대 대학생의 유동인구가 많은 지역입니다.","연세로 중앙에 있는 카페의 야외 공간입니다.
대로변을 향하고 있는 공간이며 나무데크 공간입니다",Restaurant / Bar / Cafe,,Air Conditioning;Furniture;Counters;Electricity;Heating;Lighting;Security System;Internet;Office Equipment;Sound & Video Equipment;Toilets,Pop-Up Store;Food Event,seoul
135,19253,1,7.0,857000.0,,,6000000.0,,,인상동에 위치한 세련된 미술 전시 공간,인상동에 위치한 세련된 미술 전시 공간,"이 공간은 인사동에 위치한 자유분방한 쇼룸입니다.
미술 전시회 혹은 쇼룸을 준비하는 디자이너에게 적합합니다. 미술 전시회를 위한 이 미술관은 깨끗한 천장 조명과 흰색 내벽로으로 따뜻한 느낌을 더합니다. 잘 밝혀진 조명으로 공간을 깨끗한 곳으로 연출할 수 있습니다. 이 공간은 피팅룸, 의복 행거가 준비되어 있습니다.
종로3가역과 가깝고 활기찬 지역에 위치하고 있습니다.
주변에 유명한 미술 갤러리가 많아 미술 행사 혹은 미술 전시회 예술가 에게 적합한 공간입니다. 이 공간에서 당신의 브랜드에 대한 노출을 극대화하세요.","이 공간은 인사동에 위치한 자유분방한 쇼룸입니다.
미술 전시회 혹은 쇼룸을 준비하는 디자이너에게 적합합니다",Art Gallery,,Air Conditioning;Furniture;Counters;Electricity;Handicap Accessible;Heating;Lighting;Security System;Internet;Window Display;Sound & Video Equipment;Toilets;Daylight,Art Opening,seoul
909,30855,7,672.0,,14000000.0,,1500000.0,True,250000.0,"Creative Space in Dong Dae Mun, Seoul","Creative Space in Dong Dae Mun, Seoul","ArtistCave is intended to host a film and art oriented working space and community, where like-minded people can share their experience. It is located in Jongno Gu ( near the famous Dongdaemun Design Plaza), center of Seoul. 2 minute walking from subway station. 
  
2nd Floor is the office area, currently we have 10 offices available for 1-8 people scale companies. We provide shared kitchen, free coffee and snacks, break lounge with music. 
Basement Floor, we provide shared meeting rooms, photo/cinematography studio (discounted rental for ArtistCave tenants), includes a CYC wall studio, a Makeup room, a Sound recording room(insulated) and a screening lounge.",,Creative Space,,Air Conditioning;Furniture;Electricity;Fitting Rooms;Heating;Kitchen;Lighting;Security System;Stock Room;Internet;Office Equipment;Sound & Video Equipment;Toilets;Living Space;Bathroom;Bar;Daylight;Industrial;Private Parking;Multiple Rooms;Water Access;Smoking Area;Animals Friendly;Soundproof,Private Sale;Art Opening;Product Launch;Corporate Event;Photoshoot & Filming;Conference;Meeting;Office;Photo Shooting,seoul
1355,33519,1,1.0,9000000.0,,9000000.0,,False,,,"The PLAZA Seoul, Presidential Suite room","The Presidential Suite is a truly exclusive space, befitting guests of special importance. This is THE PLAZA Seoul, Autograph
Collection's quintessential suite room, boasting unique designs and functions and an exceptionally spacious bathroom with a sauna, complemented by guest rooms and a reception room. 
Enjoy experience beyond expectations in THE PLAZA Seoul's unique Presidential Suite.",,Advertisement Space,,Air Conditioning;Heating;Internet;Bathroom;Elevator;Concierge,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event;Photoshoot & Filming;Photo Shooting,seoul
